DATE,DESCIPTION,DEBIT,CREDIT,BALANCE,,
12/22/2025,CASH ADV/BT/CONV CHQ FEE,5,,2984,,
12/22/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,55,2979,,
12/22/2025,CASH ADVANCE/AVANCE DE FO NDS,29,,3034,,
12/11/2025,CASH ADV/BT/CONV CHQ FEE,5,,3005,,
12/11/2025,CASH ADVANCE/AVANCE DE FO NDS,12.39,,3000,,
12/8/2025,"APPLE.COM/BILL 866-712-7753, ON",39.19,,2987.61,,
12/8/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,55,2948.42,,
12/5/2025,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",9.26,,3003.42,,
12/3/2025,"APPLE.COM/BILL 866-712-7753, ON",47.02,,2994.16,,
12/3/2025,"APPLE.COM/BILL 866-712-7753, ON",44.79,,2947.14,,
12/3/2025,"SHELL C47030 VICTORIA, BC",23.79,,2902.35,,
12/2/2025,CASH ADV/BT/CONV CHQ FEE,5,,2878.56,,
12/2/2025,"DOORDASHBIRYANIPALA DOWNTOWN TORO, ON",63.06,,2873.56,,
12/2/2025,CASH ADVANCE/AVANCE DE FO NDS,75,,2810.5,,
12/1/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,250,2735.5,,
12/1/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,88.44,2985.5,,
11/26/2025,CASH ADV/BT/CONV CHQ FEE,5,,3073.94,,
11/26/2025,OVERLIMIT FEE,29,,3068.94,,
11/26/2025,CASH ADVANCE/AVANCE DE FO NDS,10,,3039.94,,
11/25/2025,CASH INTEREST,3.75,,3029.94,,
11/25/2025,PURCHASE INTEREST,36.19,,3026.19,,
11/17/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,15,2990,,
11/13/2025,CASH ADV/BT/CONV CHQ FEE,5,,3005,,
11/13/2025,CASH ADVANCE/AVANCE DE FO NDS,2.08,,3000,,
11/10/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,7.08,2997.92,,
11/5/2025,CASH ADV/BT/CONV CHQ FEE,5,,3005,,
11/5/2025,CASH ADVANCE/AVANCE DE FO NDS,2.76,,3000,,
10/28/2025,INTEREST REVERSAL,,0.01,2997.24,,
10/28/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,50,2997.25,,
10/28/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,40.91,3047.25,,
10/28/2025,INTEREST REVERSAL,,0.01,3088.16,,
10/27/2025,LEKORO LTD LONDON,48.75,,3088.17,,
10/24/2025,PURCHASE INTEREST,27.01,,3039.42,,
10/24/2025,CASH INTEREST,3.19,,3012.41,,
10/17/2025,CASH ADV/BT/CONV CHQ FEE,5,,3009.22,,
10/17/2025,CASH ADVANCE/AVANCE DE FO NDS,15,,3004.22,,
10/16/2025,CASH ADV/BT/CONV CHQ FEE,5,,2989.22,,
10/16/2025,PROTON AG* PROTON AG GENEVA,6.24,,2984.22,,
10/16/2025,CASH ADVANCE/AVANCE DE FO NDS,25,,2977.98,,
10/14/2025,"PAYMENTUS-SERVICE-FEE 800-420-1663, ON",1.46,,2952.98,,
10/14/2025,"BC-HYDRO-BILL-PMNT 800-224-9376, BC",83.23,,2951.52,,
10/14/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,100.71,2868.29,,
10/14/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,75,2969,,
10/7/2025,CASH ADV/BT/CONV CHQ FEE,5,,3044,,
10/7/2025,OVERLIMIT FEE,29,,3039,,
10/7/2025,CASH ADV/BT/CONV CHQ FEE,5,,3010,,
10/7/2025,CASH ADV/BT/CONV CHQ FEE,5,,3005,,
10/7/2025,CASH ADVANCE/AVANCE DE FO NDS,4.71,,3000,,
10/7/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,69.51,2995.29,,
10/7/2025,CASH ADVANCE/AVANCE DE FO NDS,80,,3064.8,,
10/7/2025,CASH ADVANCE/AVANCE DE FO NDS,11,,2984.8,,
10/6/2025,"BAKECARGO VANCOUVER, BC",60,,2973.8,,
10/6/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,70.5,2913.8,,
10/6/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,171.29,2984.3,,
10/6/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,175,3155.59,,
10/6/2025,"BELL MOBILITY VERDUN, QC",150,,3330.59,,
10/6/2025,"SHAW CABLESYSTEMS CALGARY, AB",175,,3180.59,,
10/3/2025,CASH ADV/BT/CONV CHQ FEE,5,,3005.59,,
10/3/2025,CASH ADVANCE/AVANCE DE FO NDS,7,,3000.59,,
10/1/2025,"FAM DOCS OFFICE VICTORIA, BC",44.35,,2993.59,,
10/1/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,5.56,2949.24,,
10/1/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,12.36,2954.8,,
9/29/2025,"Netflix.com 866-716-0414, ON",21.27,,2967.16,,
9/29/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,100,2945.89,,
9/25/2025,PURCHASE INTEREST,33.8,,3045.89,,
9/25/2025,CASH INTEREST,2.09,,3012.09,,
9/16/2025,CASH ADV/BT/CONV CHQ FEE,5,,3010,,
9/16/2025,CASH ADV/BT/CONV CHQ FEE,5,,3005,,
9/16/2025,CASH ADVANCE/AVANCE DE FO NDS,19.56,,3000,,
9/16/2025,**CASH ADVANCE - AVANCE D E FONDS**,60,,2980.44,,
9/15/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,130,2920.44,,
9/15/2025,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",72.69,,3050.44,,
9/9/2025,PROTON AG* PROTON AG GENEVA,6.24,,2977.75,,
9/2/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,95,2971.51,,
8/26/2025,OVERLIMIT FEE,29,,3066.51,,
8/25/2025,PURCHASE INTEREST,39.25,,3037.51,,
8/25/2025,CASH INTEREST,1.47,,2998.26,,
8/25/2025,"Netflix.com 866-716-0414, ON",21.27,,2996.79,,
8/20/2025,CASH ADV/BT/CONV CHQ FEE,5,,2975.52,,
8/20/2025,CASH ADVANCE/AVANCE DE FO NDS,30,,2970.52,,
8/20/2025,"PALAGIO PIZZA VICTORIA, BC",17.65,,2940.52,,
8/19/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,27.13,2922.87,,
8/18/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,63.73,2950,,
8/14/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,75,3013.73,,
8/12/2025,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",24.25,,3088.73,,
8/11/2025,OVERLIMIT FEE,29,,3064.48,,
8/11/2025,"SHOPPERS DRUG MART #27 VICTORIA, BC",44.14,,3035.48,,
8/11/2025,"SHELL C47030 VICTORIA, BC",39.87,,2991.34,,
8/11/2025,"STARBUCKS 04546 VICTORIA, BC",6.78,,2951.47,,
8/6/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,67.75,2944.69,,
8/5/2025,CASH ADV/BT/CONV CHQ FEE,5,,3012.44,,
8/5/2025,"THE JOINT PIZZERIA VICTORIA, BC",2.19,,3007.44,,
8/5/2025,"R PARKING - LOT 222 VICTORIA, BC",5.5,,3005.25,,
8/5/2025,CASH ADVANCE/AVANCE DE FO NDS,12,,2999.75,,
7/28/2025,"CITY OF VICTORIA PARKI VICTORIA, BC",4,,2987.75,,
7/25/2025,PURCHASE INTEREST,44.41,,2983.75,,
7/25/2025,CASH INTEREST,0.8,,2939.34,,
7/25/2025,"Netflix.com 866-716-0414, ON",21.27,,2938.54,,
7/22/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,69.34,2917.27,,
7/21/2025,CASH ADV/BT/CONV CHQ FEE,5,,2986.61,,
7/21/2025,"CITY OF VICTORIA PARKI VICTORIA, BC",2,,2981.61,,
7/21/2025,"WESTERN COAST INSURANCE VICTORIA, BC",59.29,,2979.61,,
7/21/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,10,2920.32,,
7/21/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,47.5,2930.32,,
7/21/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,6.84,2977.82,,
7/21/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,75,2984.66,,
7/21/2025,CASH ADVANCE/AVANCE DE FO NDS,65,,3059.66,,
7/15/2025,"APPLE.COM/BILL 866-712-7753, ON",44.79,,2994.66,,
7/11/2025,"APPLE.COM/BILL 866-712-7753, ON",39.19,,2949.87,,
7/10/2025,"PAYMENTUS-SERVICE-FEE 800-420-1663, ON",3.68,,2910.68,,
7/10/2025,"BC-HYDRO-BILL-PMNT 800-224-9376, BC",210,,2907,,
7/10/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,226.3,2697,,
7/10/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,42.77,2923.3,,
7/8/2025,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",131.87,,2966.07,,
7/8/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,45,2834.2,,
7/7/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2879.2,,
7/7/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2818.73,,
7/7/2025,"APPLE.COM/BILL TORONTO, ON",60.47,,2758.26,,
7/7/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,53,2697.79,,
7/7/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,250,2750.79,,
7/7/2025,"APPLE.COM/BILL 866-712-7753, ON",44.79,,3000.79,,
7/7/2025,"BIRYANI PALACE VICTORIA, BC",56.72,,2956,,
7/3/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,42.15,2899.28,,
7/3/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,8.57,2941.43,,
7/2/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,42.02,2950,,
6/30/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2992.02,,
6/30/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,25,2931.55,,
6/30/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,45.42,2956.55,,
6/27/2025,"APPLE.COM/BILL 866-712-7753, ON",44.79,,3001.97,,
6/25/2025,PURCHASE INTEREST,11.89,,2957.18,,
6/25/2025,CASH INTEREST,1.41,,2945.29,,
6/25/2025,ANNUAL FEE,29,,2943.88,,
6/25/2025,"NETFLIX.COM Vancover, BC",21.27,,2914.88,,
6/25/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,100,2893.61,,
6/24/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,75,2993.61,,
6/24/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,24,3068.61,,
6/23/2025,"TIM HORTONS INTL TERM CALGARY, AB",7.75,,3092.61,,
6/23/2025,"YELLOW CAB OF VICTORIA VICTORIA, BC",88.26,,3084.86,,
6/23/2025,"PETRO-CANADA 59222 SCARBOROUGH, ON",55.63,,2996.6,,
6/23/2025,"POPEYES #10659 OSHAWA, ON",33.19,,2940.97,,
6/23/2025,"ENTERPRISE CANADA C2PA MISSISSAUGA, ON",267.26,,2907.78,,
6/23/2025,"SHOPPERS DRUG MART #12 OSHAWA, ON",180,,2640.52,,
6/20/2025,Amazon.fr Payments www.http:/Ama,,6.96,2460.52,,
6/19/2025,Amazon.fr Payments www.http:/Ama,,32.52,2467.48,,
6/17/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,232.52,2500,,
6/10/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,125,2732.52,,
6/6/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,38.63,2857.52,,
6/5/2025,"WAL-MART SUPERCENTER#3111 SCARBOROUGH, ON",301.23,,2896.15,,
6/4/2025,"ENTERPRISE CANADA C2PA MISSISSAUGA, ON",446.06,,2594.92,,
6/4/2025,"ONROUTE TRENTON S #1170 BRIGHTON, ON",44.4,,2148.86,,
6/4/2025,"ONROUTE TRENTON S #1170 BRIGHTON, ON",83.57,,2104.46,,
6/3/2025,"TIM HORTONS #103982 BRIGHTON, ON",11.33,,2020.89,,
6/3/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,157.29,2009.56,,
6/3/2025,"BUFFET GARDEN BELLEVILLE, ON",100.31,,2166.85,,
6/3/2025,"A&W #4516 SCARBOROUGH SCARBOROUGH, ON",18.4,,2066.54,,
6/3/2025,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",75,,2048.14,,
6/2/2025,"PIONEER STN #630 BELLEVILLE, ON",16.94,,1973.14,,
6/2/2025,"ONROUTE PORT HOPE, ON",34.08,,1956.2,,
6/2/2025,"ONROUTE PORT HOPE, ON",13.84,,1922.12,,
6/2/2025,"581 - POSTCARDS FROM E EDMONTON, AB",32.42,,1908.28,,
6/2/2025,"WESTJET 8384418354113 CALGARY, AB",210,,1875.86,,
6/2/2025,"SHELL C47005 VICTORIA, BC",35,,1665.86,,
6/2/2025,"BIRYANI PALACE VICTORIA, BC",92.69,,1630.86,,
5/30/2025,"R PARKING VIC VICTORIA, BC",8.5,,1538.17,,
5/30/2025,"SHELL C47030 VICTORIA, BC",79.74,,1529.67,,
5/30/2025,"SAVE ON FOODS 2227 VICTORIA, BC",21.87,,1449.93,,
5/29/2025,"Subway 14690 Langford, BC",19.88,,1428.06,,
5/29/2025,"FAM DOCS OFFICE VICTORIA, BC",44.35,,1408.18,,
5/28/2025,"DD/DOORDASHALIBABAPIZZ VANCOUVER, BC",61.29,,1363.83,,
5/23/2025,PURCHASE INTEREST,23.99,,1302.54,,
5/23/2025,CASH INTEREST,4.08,,1278.55,,
5/22/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,976.98,1274.47,,
5/14/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,27.16,2251.45,,
5/14/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,504.56,2278.61,,
5/13/2025,CASHBACK/REMISE EN ARGENT,,3.35,2783.17,,
5/12/2025,"CREDIT TORONTO, ON",,20,2786.52,,
5/12/2025,"PAYMENTUS-SERVICE-FEE 800-420-1663, ON",5.5,,2806.52,,
5/12/2025,"BC-HYDRO-BILL-PMNT 800-224-9376, BC",314,,2801.02,,
5/12/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,15,2487.02,,
5/12/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,88.72,2502.02,,
5/8/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,20,2590.74,,
5/8/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,87.96,2610.74,,
5/5/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,152.81,2698.7,,
5/5/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,53.39,2851.51,,
5/5/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,47.91,2904.9,,
4/28/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,109.66,2952.81,,
4/28/2025,INTEREST REVERSAL,,0.06,3062.47,,
4/25/2025,PURCHASE INTEREST,50.24,,3062.53,,
4/25/2025,CASH INTEREST,7.29,,3012.29,,
4/25/2025,CASH ADV/BT/CONV CHQ FEE,5,,3005,,
4/25/2025,CASH ADVANCE/AVANCE DE FO NDS,121.44,,3000,,
4/21/2025,"AMZN Apps CA www.amazon.ca, ON",14.55,,2878.56,,
4/21/2025,CASHBACK/REMISE EN ARGENT,,11.63,2864.01,,
4/17/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,49.36,2875.64,,
4/15/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,69.78,2925,,
4/14/2025,"APPLE.COM/BILL 866-712-7753, ON",57.1,,2994.78,,
4/14/2025,"APPLE.COM/BILL 866-712-7753, ON",22.39,,2937.68,,
4/14/2025,"APPLE.COM/BILL 866-712-7753, ON",44.79,,2915.29,,
4/14/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,70,2870.5,,
4/14/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,75,2940.5,,
4/14/2025,"Netflix.com 866-716-0414, ON",21.27,,3015.5,,
4/14/2025,"SHELL C47030 VICTORIA, BC",42.11,,2994.23,,
4/14/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,9.41,2952.12,,
4/9/2025,"R PARKING VIC VICTORIA, BC",8.5,,2961.53,,
4/8/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,27.58,2953.03,,
4/4/2025,"SHELL C47030 VICTORIA, BC",22.11,,2980.61,,
4/2/2025,"R PARKING VIC VICTORIA, BC",8.5,,2958.5,,
3/31/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,132.59,2950,,
3/26/2025,OVERLIMIT FEE,29,,3082.59,,
3/25/2025,PURCHASE INTEREST,57.13,,3053.59,,
3/25/2025,CASH INTEREST,5.45,,2996.46,,
3/21/2025,"EVENTBRITE/PETUNIASTUE SAINT JOHN, NB",45.26,,2991.01,,
3/21/2025,"MEGA MART VICTORIA, BC",46.01,,2945.75,,
3/21/2025,"R PARKING VIC VICTORIA, BC",8.5,,2899.74,,
3/19/2025,"EQUIFAX CANADA CO. 855-233-9226, ON",26.2,,2891.24,,
3/18/2025,CASH ADV/BT/CONV CHQ FEE,5,,2865.04,,
3/18/2025,"AMZN Apps CA www.amazon.ca, ON",14.55,,2860.04,,
3/18/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,75.91,2845.49,,
3/18/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,54.51,2921.4,,
3/18/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,4,2975.91,,
3/18/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,16.9,2979.91,,
3/18/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,68.24,2996.81,,
3/18/2025,CASH ADVANCE/AVANCE DE FO NDS,90,,3065.05,,
3/17/2025,"Subway 14690 Langford, BC",16.85,,2975.05,,
3/17/2025,"Microsoft*Microsoft 365 P Mississauga, ON",12.89,,2958.2,,
3/17/2025,"GOOGLE*TREND MICRO G.CO/HELPPAY#, NS",5.59,,2945.31,,
3/17/2025,"APPLE.COM/BILL TORONTO, ON",51.49,,2939.72,,
3/17/2025,"SHELL C47030 VICTORIA, BC",41.78,,2888.23,,
3/17/2025,"SHELL C47030 VICTORIA, BC",55.15,,2846.45,,
3/17/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,181.43,2791.3,,
3/17/2025,"ID ASSIST 8779001837 TORONTO, ON",22.39,,2972.73,,
3/14/2025,CASHBACK/REMISE EN ARGENT,,26.87,2950.34,,
3/13/2025,"R PARKING VIC VICTORIA, BC",8.5,,2977.21,,
3/10/2025,"Netflix.com 866-716-0414, ON",21.27,,2968.71,,
3/10/2025,"SHAW CABLESYSTEMS CALGARY, AB",141.2,,2947.44,,
3/10/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,53.26,2806.24,,
3/7/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,121.53,2859.5,,
3/7/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,17.57,2981.03,,
3/7/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,1.24,2998.6,,
3/7/2025,"SHOPPERS DRUG MART #27 VICTORIA, BC",19.84,,2999.84,,
3/4/2025,CASH ADV/BT/CONV CHQ FEE,5,,2980,,
3/4/2025,CASH ADVANCE/AVANCE DE FO NDS,225,,2975,,
3/4/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,238.96,2750,,
3/3/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2988.96,,
3/3/2025,"APPLE.COM/BILL 866-712-7753, ON",12.31,,2928.49,,
3/3/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,75,2916.18,,
3/3/2025,"APPLE.COM/BILL TORONTO, ON",14.55,,2991.18,,
2/28/2025,"Amazon Channels amazon.ca, BC",24.63,,2976.63,,
2/28/2025,"CITY OF VICTORIA PARKI VICTORIA, BC",2,,2952,,
2/28/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,26.28,2950,,
2/26/2025,"APPLE.COM/BILL 866-712-7753, ON",95.19,,2976.28,,
2/25/2025,CASH INTEREST,1.19,,2881.09,,
2/25/2025,PURCHASE INTEREST,48.64,,2879.9,,
2/24/2025,"APPLE.COM/BILL 866-712-7753, ON",61.59,,2831.26,,
2/24/2025,"APPLE.COM/BILL 866-712-7753, ON",95.19,,2769.67,,
2/24/2025,"APPLE.COM/BILL 866-712-7753, ON",95.19,,2674.48,,
2/24/2025,"APPLE.COM/BILL 866-712-7753, ON",95.19,,2579.29,,
2/24/2025,"APPLE.COM/BILL TORONTO, ON",95.19,,2484.1,,
2/24/2025,"APPLE.COM/BILL TORONTO, ON",126.54,,2388.91,,
2/24/2025,"STARBUCKS COFFEE #4405 VICTORIA, BC",6.78,,2262.37,,
2/24/2025,"PrimeVideo.c*AL5YA5AM3 www.amazon.ca, BC",5.59,,2255.59,,
2/21/2025,"APPLE.COM/BILL 866-712-7753, ON",95.19,,2250,,
2/21/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,336.67,2154.81,,
2/21/2025,"APPLE.COM/BILL 866-712-7753, ON",95.19,,2491.48,,
2/21/2025,"APPLE.COM/BILL 866-712-7753, ON",95.19,,2396.29,,
2/20/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,414.88,2301.1,,
2/20/2025,"STARBUCKS 04546 VICTORIA, BC",6.78,,2715.98,,
2/19/2025,"EQUIFAX CANADA CO. 855-233-9226, ON",26.2,,2709.2,,
2/19/2025,"APPLE.COM/BILL 866-712-7753, ON",82.86,,2683,,
2/18/2025,"AMZN Apps CA www.amazon.ca, ON",14.55,,2600.14,,
2/18/2025,"CAFFE FANTASTICO VICTORIA, BC",5.11,,2585.59,,
2/18/2025,"THE SPIRAL CAFE VICTORIA, BC",7.85,,2580.48,,
2/18/2025,"THE SPIRAL CAFE VICTORIA, BC",5.1,,2572.63,,
2/18/2025,"THE MARKET ON MILLSTRE VICTORIA, BC",74.42,,2567.53,,
2/18/2025,"SHELL C47030 VICTORIA, BC",125.33,,2493.11,,
2/18/2025,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",98.7,,2367.78,,
2/18/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,490.9,2269.08,,
2/18/2025,CASHBACK/REMISE EN ARGENT,,30.92,2759.98,,
2/18/2025,"AMAZON.COM * 5L4LR38Y3 VANCOUVER, BC",99.99,,2790.9,,
2/18/2025,"APPLE.COM/BILL 866-712-7753, ON",4.47,,2690.91,,
2/18/2025,"ID ASSIST 8779001837 TORONTO, ON",22.39,,2686.44,,
2/14/2025,"Microsoft*Microsoft 365 P Mississauga, ON",8.96,,2664.05,,
2/14/2025,"GOOGLE *Trend Micro g.co/helppay#, NS",5.59,,2655.09,,
2/10/2025,CASH ADV/BT/CONV CHQ FEE,5,,2649.5,,
2/10/2025,"Netflix.com 866-716-0414, ON",18.47,,2644.5,,
2/10/2025,"APPLE.COM/BILL 866-712-7753, ON",80.62,,2626.03,,
2/10/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2545.41,,
2/10/2025,"ESSO 7-ELEVEN 37898 VICTORIA, BC",144.39,,2484.94,,
2/10/2025,**CASH ADVANCE - AVANCE D E FONDS**,100,,2340.55,,
2/4/2025,"APPLE.COM/BILL 866-712-7753, ON",44.79,,2240.55,,
2/4/2025,"Amazon.ca*ZC0QQ2RY1 AMAZON.CA, ON",65.15,,2195.76,,
2/3/2025,"APPLE.COM/BILL 866-712-7753, ON",41.42,,2130.61,,
2/3/2025,"APPLE.COM/BILL 866-712-7753, ON",72.78,,2089.19,,
2/3/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2016.41,,
2/3/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,1955.94,,
2/3/2025,"UVIC PARKING VICTORIA, BC",10,,1895.47,,
2/3/2025,"UVIC FOOD BIBLIO VICTORIA, BC",14.97,,1885.47,,
2/3/2025,"UVIC FOOD BIBLIO VICTORIA, BC",10.49,,1870.5,,
2/3/2025,"SHOPPERS DRUG MART #27 VICTORIA, BC",9.04,,1860.01,,
2/3/2025,"SHELL C47030 VICTORIA, BC",27.49,,1850.97,,
1/31/2025,"Amazon Channels amazon.ca, BC",24.63,,1823.48,,
1/31/2025,"APPLE.COM/BILL 866-712-7753, ON",14.55,,1798.85,,
1/31/2025,"APPLE.COM/BILL 866-712-7753, ON",12.31,,1784.3,,
1/29/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,712.08,1771.99,,
1/29/2025,"APPLE.COM/BILL 866-712-7753, ON",41.43,,2484.07,,
1/27/2025,"SUSHI LANGFORD VICTORIA, BC",82.42,,2442.64,,
1/27/2025,"BIRYANI PALACE VICTORIA, BC",53.34,,2360.22,,
1/27/2025,PROTON AG* PROTON AG GENEVA 12.99 EUR @ 1.546574,20.09,,2306.88,,
