DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
11/7/2025,Internet Banking INTERNET TRANSFER 000000101358,,15.03,
10/31/2025,Branch Transaction OVERDRAFT INTEREST CHARGE,0.03,,
10/31/2025,Branch Transaction OVERDRAFT FEE,5,,
10/6/2025,Internet Banking INTERNET TRANSFER 000000235587,4.18,,
10/3/2025,Internet Banking INTERNET TRANSFER 000000124892,,60,
10/2/2025,Internet Banking INTERNET TRANSFER 000000130710,6.67,,
9/29/2025,Branch Transaction INTEREST,,0.01,
9/29/2025,Branch Transaction BONUS INTEREST,,0.17,
9/29/2025,Branch Transaction E-TRANSFER NETWORK FEE,6,,
9/29/2025,Branch Transaction SERVICE CHARGE,50,,
9/29/2025,Point of Sale - Interac RETAIL PURCHASE 000001001774 WALMART STORE #,105.33,,
9/29/2025,Internet Banking INTERNET TRANSFER 000000136652,12.36,,
9/29/2025,Internet Banking INTERNET TRANSFER 000000116531,,124.36,
9/26/2025,Internet Banking INTERNET TRANSFER 000000208845,412.46,,
9/26/2025,Internet Banking INTERNET TRANSFER 000000212678,100,,
9/26/2025,Internet Banking E-TRANSFER 105632925374 YISEHAK ABDELLA,,512.46,
9/15/2025,Internet Banking E-TRANSFER 105618741399 Isaac A,19.56,,
9/15/2025,Internet Banking INTERNET TRANSFER 000000116200,,19.56,
9/15/2025,Internet Banking INTERNET TRANSFER 000000103787,311.27,,
9/15/2025,Internet Banking INTERNET TRANSFER 000000135470,,311.27,
9/15/2025,Internet Banking INTERNET TRANSFER 000000113142,11.02,,
9/10/2025,Point of Sale - Interac RETAIL PURCHASE 525312219371 SHELL C47030,20,,
9/8/2025,Branch Transaction SMART INTEREST,,0.04,
9/2/2025,Internet Banking E-TRANSFER 105601158353 SEMIR G ABDELLA,32.5,,
9/2/2025,Internet Banking E-TRANSFER 105600180109 Jenny Phan,1650,,
9/2/2025,Internet Banking E-TRANSFER 105599262544 Shauna,20,,
9/2/2025,Point of Sale - Interac RETAIL PURCHASE 524222249617 SAVE ON FOODS 2,7.83,,
9/2/2025,Point of Sale - Interac RETAIL PURCHASE 285001001036 DUAA SUPERMARKE,32.73,,
9/2/2025,Point of Sale - Interac RETAIL PURCHASE 000001001471 WALMART STORE #,80.96,,
9/2/2025,Point of Sale - Interac RETAIL PURCHASE 524216778298 GFL - DUNFORD H,11,,
9/2/2025,Internet Banking INTERNET TRANSFER 000000222719,,185.52,
8/29/2025,Branch Transaction BONUS INTEREST,,0.44,
8/29/2025,Branch Transaction INTEREST,,0.04,
8/29/2025,Internet Banking INTERNET TRANSFER 000000115166,125,,
8/29/2025,Internet Banking INTERNET TRANSFER 000000116734,160,,
8/29/2025,Internet Banking INTERNET TRANSFER 000000120238,60,,
8/29/2025,Internet Banking INTERNET TRANSFER 000000222817,,375,
8/29/2025,Internet Banking INTERNET TRANSFER 000000231119,,1650,
8/18/2025,Internet Banking INTERNET TRANSFER 000000224309,15,,
8/18/2025,Internet Banking INTERNET TRANSFER 000000212717,35,,
8/15/2025,Internet Banking INTERNET TRANSFER 000000128059,,50,
8/5/2025,Internet Banking INTERNET TRANSFER 000000128705,20,,
8/5/2025,Internet Banking INTERNET TRANSFER 000000136732,,31.27,
7/31/2025,Branch Transaction BONUS INTEREST,,0.21,
7/31/2025,Branch Transaction INTEREST,,0.03,
7/31/2025,Branch Transaction OVERDRAFT INTEREST CHARGE,0.01,,
7/31/2025,Branch Transaction OVERDRAFT FEE,5,,
7/31/2025,Branch Transaction E-TRANSFER NETWORK FEE,1.5,,
7/31/2025,Branch Transaction SERVICE CHARGE,5,,
7/24/2025,Internet Banking INTERNET TRANSFER 000000138539,420,,
7/21/2025,Internet Banking INTERNET TRANSFER 000000202454,,45,
7/21/2025,Internet Banking INTERNET TRANSFER 000000137776,275,,
7/21/2025,Internet Banking INTERNET TRANSFER 000000118339,,15,
7/21/2025,Internet Banking INTERNET TRANSFER 000000108402,,225,
7/18/2025,Internet Banking INTERNET TRANSFER 000000106535,10,,
7/18/2025,Internet Banking INTERNET TRANSFER 000000117075,,420,
7/9/2025,Internet Banking INTERNET TRANSFER 000000227996,210.12,,
7/9/2025,Internet Banking INTERNET TRANSFER 000000136111,,200,
7/8/2025,Branch Transaction SMART INTEREST,,0.12,
7/7/2025,Internet Banking INTERNET TRANSFER 000000122506,,14.88,
7/2/2025,Internet Banking INTERNET TRANSFER 000000207541,5,,
7/2/2025,Internet Banking E-TRANSFER 105519326027 Jenny Phan,1650,,
6/30/2025,Branch Transaction INTEREST,,0.12,
6/30/2025,Branch Transaction SERVICE CHARGE,5,,
6/30/2025,Internet Banking INTERNET TRANSFER 000000101709,,5,
6/27/2025,Internet Banking INTERNET TRANSFER 000000128279,5,,
6/27/2025,Internet Banking INTERNET TRANSFER 000000211849,25,,
6/26/2025,Internet Banking INTERNET TRANSFER 000000127739,,55,
6/26/2025,Internet Banking INTERNET TRANSFER 000000205515,,425,
6/25/2025,Internet Banking INTERNET TRANSFER 000000234339,,39.6,
6/24/2025,Point of Sale - Interac RETAIL PURCHASE 517511964726 STARBUCKS COFFE,14.6,,
6/24/2025,Internet Banking INTERNET TRANSFER 000000212243,100,,
6/24/2025,Internet Banking INTERNET TRANSFER 000000112318,125,,
6/23/2025,Internet Banking INTERNET TRANSFER 000000234445,258.35,,
6/23/2025,Internet Banking INTERNET TRANSFER 000000102834,6.65,,
6/23/2025,Internet Banking INTERNET TRANSFER 000000203478,3.54,,
6/20/2025,Internet Banking INTERNET TRANSFER 000000229641,,1675,
5/30/2025,Branch Transaction INTEREST,,0.04,
5/30/2025,Branch Transaction E-TRANSFER NETWORK FEE,1.5,,
5/30/2025,Branch Transaction SERVICE CHARGE,5,,
5/21/2025,Internet Banking INTERNET TRANSFER 000000139285,430,,
5/13/2025,Internet Banking INTERNET TRANSFER 000000121714,27.16,,
5/13/2025,Internet Banking INTERNET TRANSFER 000000134391,45,,
5/9/2025,Internet Banking INTERNET TRANSFER 000000104520,,500,
5/7/2025,Branch Transaction SMART INTEREST,,0.08,
5/1/2025,Internet Banking E-TRANSFER 105438637419 Jenny Phan,1650,,
5/1/2025,Internet Banking INTERNET TRANSFER 000000117649,3,,
4/30/2025,Branch Transaction INTEREST,,0.08,
4/28/2025,Internet Banking INTERNET TRANSFER 000000236059,35,,
4/25/2025,Internet Banking INTERNET TRANSFER 000000134296,,1690,
4/21/2025,Internet Banking INTERNET TRANSFER 000000125036,100,,
4/21/2025,Internet Banking INTERNET TRANSFER 000000109176,50,,
4/21/2025,Internet Banking E-TRANSFER 105421273934 SEMIR G ABDELLA,,150,
4/16/2025,Internet Banking INTERNET TRANSFER 000000104561,50,,
4/16/2025,Internet Banking INTERNET TRANSFER 000000120664,149.83,,
4/15/2025,Internet Banking INTERNET TRANSFER 000000211378,120.17,,
4/14/2025,Internet Banking INTERNET TRANSFER 000000134216,152.02,,
4/11/2025,Internet Banking INTERNET TRANSFER 000000111550,,485,
3/31/2025,Branch Transaction INTEREST,,0.02,
3/31/2025,Branch Transaction E-TRANSFER NETWORK FEE,3,,
3/31/2025,Branch Transaction SERVICE CHARGE,10,,
3/31/2025,Internet Banking INTERNET TRANSFER 000000113185,50,,
3/31/2025,Internet Banking E-TRANSFER 105394410297 Jenny Phan,1650,,
3/31/2025,Internet Banking INTERNET TRANSFER 000000137370,,19.98,
3/31/2025,Internet Banking INTERNET TRANSFER 000000216952,,1680,
3/7/2025,Branch Transaction SMART INTEREST,,0.01,
3/3/2025,Internet Banking E-TRANSFER 105358082363 Jenny Phan,1650,,
3/3/2025,Internet Banking INTERNET TRANSFER 000000108675,,550,
3/3/2025,Internet Banking INTERNET TRANSFER 000000112345,195,,
3/3/2025,Internet Banking INTERNET TRANSFER 000000136131,55,,
3/3/2025,Internet Banking INTERNET TRANSFER 000000135127,150,,
3/3/2025,Internet Banking INTERNET TRANSFER 000000203790,150,,
2/28/2025,Branch Transaction INTEREST,,0.01,
2/28/2025,Internet Banking INTERNET TRANSFER 000000116700,,1650,
2/28/2025,Internet Banking INTERNET TRANSFER 000000109196,1.73,,
1/31/2025,Branch Transaction INTEREST,,0.04,
1/31/2025,Branch Transaction E-TRANSFER NETWORK FEE,1.5,,
1/31/2025,Branch Transaction SERVICE CHARGE,5,,
1/20/2025,Internet Banking INTERNET TRANSFER 000000125938,36.81,,
1/14/2025,Internet Banking INTERNET TRANSFER 000000206030,,44.84,
1/6/2025,Internet Banking INTERNET TRANSFER 000000234934,650,,
1/3/2025,Internet Banking INTERNET TRANSFER 000000102918,,620,
1/3/2025,Internet Banking E-TRANSFER 105285645103 Jenny Phan,1650,,
12/31/2024,Branch Transaction INTEREST,,0.16,
12/20/2024,Internet Banking INTERNET TRANSFER 000000128762,,1650,
12/18/2024,Internet Banking INTERNET TRANSFER 000000224598,24.27,,
12/9/2024,Internet Banking INTERNET TRANSFER 000000131702,,53.99,
12/6/2024,Branch Transaction SMART INTEREST,,0.13,
12/2/2024,Internet Banking INTERNET TRANSFER 000000139724,25.32,,
12/2/2024,Internet Banking INTERNET TRANSFER 000000113349,1650,,
11/29/2024,Branch Transaction INTEREST,,0.15,
11/25/2024,Internet Banking INTERNET TRANSFER 000000123786,,275,
11/25/2024,Internet Banking INTERNET TRANSFER 000000109595,250,,
11/22/2024,Internet Banking INTERNET TRANSFER 000000128355,,1650,
11/13/2024,Internet Banking INTERNET TRANSFER 000000230485,300,,
11/13/2024,Internet Banking INTERNET TRANSFER 000000102540,310,,
11/12/2024,Internet Banking INTERNET TRANSFER 000000111944,20,,
11/12/2024,Internet Banking INTERNET TRANSFER 000000229596,120.14,,
11/8/2024,Branch Transaction BONUS INTEREST,,0.32,
11/8/2024,Internet Banking INTERNET TRANSFER 000000204557,,750,
11/1/2024,Internet Banking INTERNET TRANSFER 000000237419,73,,
10/31/2024,Branch Transaction BONUS INTEREST,,0.13,
10/31/2024,Branch Transaction INTEREST,,0.01,
10/30/2024,Internet Banking INTERNET TRANSFER 000000107739,300,,
10/28/2024,Internet Banking INTERNET TRANSFER 000000223093,400,,
10/28/2024,Internet Banking INTERNET TRANSFER 000000222950,27,,
10/28/2024,Internet Banking INTERNET TRANSFER 000000222820,250,,
10/28/2024,Internet Banking INTERNET TRANSFER 000000222432,300,,
10/28/2024,Internet Banking INTERNET TRANSFER 000000216203,300,,
10/28/2024,Internet Banking INTERNET TRANSFER 000000237045,,1650,
10/16/2024,Internet Banking INTERNET TRANSFER 000000112689,7.65,,
10/11/2024,Internet Banking INTERNET TRANSFER 000000110318,125,,
10/11/2024,Internet Banking INTERNET TRANSFER 000000114600,,131.49,
10/7/2024,Branch Transaction SMART INTEREST,,0.1,
10/1/2024,Internet Banking INTERNET TRANSFER 000000121942,1650,,
10/1/2024,Internet Banking INTERNET TRANSFER 000000127567,,300,
10/1/2024,Internet Banking INTERNET TRANSFER 000000125409,300,,
9/27/2024,Branch Transaction BONUS INTEREST,,0.99,
9/27/2024,Branch Transaction INTEREST,,0.07,
9/27/2024,Internet Banking INTERNET TRANSFER 000000128280,,1650,
9/20/2024,Internet Banking INTERNET TRANSFER 000000236743,50,,
9/13/2024,Internet Banking INTERNET TRANSFER 000000225719,,32.47,
9/12/2024,Internet Banking INTERNET TRANSFER 000000103081,,17.36,
9/3/2024,Internet Banking INTERNET TRANSFER 000000209061,50,,
8/30/2024,Branch Transaction BONUS INTEREST,,0.16,
8/30/2024,Branch Transaction INTEREST,,0.01,
8/30/2024,Internet Banking INTERNET TRANSFER 000000229457,250,,
8/30/2024,Internet Banking INTERNET TRANSFER 000000213846,1400,,
8/30/2024,Internet Banking INTERNET TRANSFER 000000208675,,1700,
8/20/2024,Internet Banking INTERNET TRANSFER 000000127613,100,,
8/19/2024,Internet Banking INTERNET TRANSFER 000000130637,50,,
8/19/2024,Internet Banking INTERNET TRANSFER 000000238514,,100,
8/8/2024,Internet Banking INTERNET TRANSFER 000000228863,150,,
8/6/2024,Internet Banking INTERNET TRANSFER 000000203033,,200,
